OBJECTID,BoundaryID,Boundary_Name,Acres,Status
493,560,Causey Spring (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),1956013.65681661,Active
494,493,Ingham Peak (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),23182239.1191546,Active
495,806,George Creek (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),3975289.79457498,Active
496,512,Dove Creek (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),12454512.1166075,Active
497,516,Double Cone (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),27839259.4563231,Active
498,489,Green Canyon (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),577305.15166797,Active
500,504,Park Valley Hereford (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),2590987.71544561,Active
501,492,North Peaks (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),8958652.89492356,Active
502,590,Rabbit Creek (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),1019766.21335591,Active
507,531,Johnson Mtn Ranch (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),452356.8405805,Active
508,527,Bar J Ranch (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),1482544.77524594,Active
511,735,Indian Head (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),2710664.1852694,Active
512,543,Roan Cliffs  (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),685.81365478,Active
514,517,Riverview Ranch LLC (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),9596.66497883,Active
515,565,Middle Ridge (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),656.2551157,Active
519,535,Old Woman Plateau (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),244.72051325,Active
520,919,Prohibition Springs (CWMU Tradelands are areas that allow the public to hunt during the hunting season.),13878.390013,Active
