publish_year,label,url
2025,Preliminary big game harvest,https://wildlife.utah.gov/pdf/bg/2025/2026-03-06-2025-preliminary-bg-harvest.pdf
2024,General-season buck deer,https://wildlife.utah.gov/pdf/bg/2024/2024_gs_buck_deer_hr.pdf
2024,Limited-entry and once-in-a-lifetime species,https://wildlife.utah.gov/pdf/bg/2024/2024_le_oial_all.pdf
2024,Antlerless big game,https://wildlife.utah.gov/pdf/bg/2024/2024_antlerless_hr.pdf
2023,General-season buck deer,https://wildlife.utah.gov/pdf/bg/2023/2023_gs_buck_deer_hr.pdf
2023,Limited-entry and once-in-a-lifetime species,https://wildlife.utah.gov/pdf/bg/2023/2023_le_oial_all.pdf
2023,Antlerless big game,https://wildlife.utah.gov/pdf/bg/2023/2023_antlerless_hr.pdf
2022,General-season buck deer,https://wildlife.utah.gov/pdf/bg/2022/2022_gs_buck_deer_hr.pdf
2022,Limited-entry and once-in-a-lifetime species,https://wildlife.utah.gov/pdf/bg/2022/2022_le_oial_all.pdf
2022,Antlerless big game,https://wildlife.utah.gov/pdf/bg/2022/2022_antlerless_hr.pdf
2021,General-season buck deer,https://wildlife.utah.gov/pdf/bg/2021/2021_gs_buck_deer_hr.pdf
2021,Limited-entry and once-in-a-lifetime species,https://wildlife.utah.gov/pdf/bg/2021/2021_le_oial_all.pdf
2021,Antlerless big game,https://wildlife.utah.gov/pdf/bg/2021/2021_antlerless_hr.pdf
2020,General-season buck deer,https://wildlife.utah.gov/pdf/bg/2020/2020_gs_buck_deer_hr.pdf
2020,Limited-entry and once-in-a-lifetime species,https://wildlife.utah.gov/pdf/bg/2020/2020_le_oial_all.pdf
2020,Antlerless big game,https://wildlife.utah.gov/pdf/bg/2020/2020_antlerless_hr.pdf
2024,2024,https://wildlife.utah.gov/pdf/annual-reports/big-game/24_bg_report.pdf
2023,2023,https://wildlife.utah.gov/pdf/annual-reports/big-game/23_bg_report.pdf
2022,2022,https://wildlife.utah.gov/pdf/annual-reports/big-game/22_bg_report.pdf
2021,2021,https://wildlife.utah.gov/pdf/annual-reports/big-game/21_bg_report.pdf
2020,2020,https://wildlife.utah.gov/pdf/annual-reports/big-game/20_bg_report.pdf
